"","SSL SCORE","PREDICTOR RAT AGE AT LATEST ARREST","PREDICTOR RAT VICTIM SHOOTING INCIDENTS","PREDICTOR RAT VICTIM BATTERY OR ASSAULT","PREDICTOR RAT ARRESTS VIOLENT OFFENSES","PREDICTOR RAT GANG AFFILIATION","PREDICTOR RAT NARCOTIC ARRESTS","PREDICTOR RAT TREND IN CRIMINAL ACTIVITY","PREDICTOR RAT UUW ARRESTS","SEX CODE CD","RACE CODE CD","WEAPON I","DRUG I","AGE GROUP","AGE TO","STOP ORDER NO","PAROLEE I","LATEST DATE","LATEST DIST","MAJORITY DIST","DLST","LATEST DIST RES","WEAPONS ARR CNT","LATEST WEAPON ARR DATE","NARCOTICS ARR CNT","LATEST NARCOTIC ARR DATE","IDOC RES CITY","IDOC RES STATE CODE","IDOC RES ZIP CODE","IDOC CPD DIST","CPD ARREST I","DOMESTIC ARR CNT","LATEST DOMESTIC ARR DATE","AGE CURR","SSL LAST PTV DATE","TRAP STATUS","RAW SSL SCORE","HEAT SCORE","RAW_HEAT_SCORE","STATUS I","PRE RAW HEAT SCORE","TRAP FLAGS","SSL FLAGS","LATITUDE","LONGITUDE","CENSUS TRACT","COMMUNITY AREA","LOCATION","District"
"119",483,"less than 20",1,2,2,1,0,3,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,6,3,"IL",6,NA,NA,NA,NA,NA,NA,NA,NA,"Y",1,2016,"less than 20",2015,NA,0.12357,483,0.12357,"Y",12357,NA,3,41.7471101006563,-87.6568839344924,17031710700,"AUBURN GRESHAM","(41.7471101006563, -87.6568839344924)",6
"120",481,"less than 20",1,1,0,0,1,0.7,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,7,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12326,481,0.12326,"Y",12326,NA,NA,41.7617135099886,-87.6298720574274,17031691100,"GREATER GRAND CROSSING","(41.7617135099886, -87.6298720574274)",6
"121",480,"less than 20",0,3,3,1,1,-2.2,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2014,22,6,NA,6,1,2014,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12316,480,0.12316,"Y",12316,NA,NA,41.7336612364378,-87.652116867918,17031711400,"AUBURN GRESHAM","(41.7336612364378, -87.652116867918)",6
"122",479,"less than 20",1,1,4,1,1,-0.8,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2016,9,5,NA,6,NA,NA,1,2016,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.12294,479,0.12294,"Y",12294,NA,NA,41.8047713864213,-87.6499380814424,17031611000,"NEW CITY","(41.8047713864213, -87.6499380814424)",6
"123",479,"20-30",2,3,2,1,2,-0.4,1,"M","BLK","Y","N","20-30","20-30",NA,"Y",2015,6,6,NA,6,1,2013,NA,NA,"CHICAGO","IL",60620,NA,"Y",NA,NA,"20-30",2016,4,0.12295,479,0.12295,"Y",12295,NA,NA,41.7395016368412,-87.6583001537865,17031711100,"AUBURN GRESHAM","(41.7395016368412, -87.6583001537865)",6
"124",500,"less than 20",2,2,2,1,0,-0.1,2,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2015,9,9,NA,7,2,2015,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2013,NA,0.1297,500,0.1297,"Y",12970,NA,9,41.8274278223327,-87.6325215087574,17031340600,"ARMOUR SQUARE","(41.8274278223327, -87.6325215087574)",7
"125",500,"less than 20",0,0,7,1,0,-1.1,0,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,3,6,NA,7,1,2016,NA,NA,NA,NA,NA,NA,"Y",1,2016,"less than 20",NA,NA,0.13593,500,0.13593,"Y",13593,NA,NA,41.7697163968633,-87.5893601196287,17031430300,"SOUTH SHORE","(41.7697163968633, -87.5893601196287)",7
"126",500,"less than 20",2,3,6,1,1,-0.3,1,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2015,3,7,NA,7,2,2015,1,2015,NA,NA,NA,NA,"Y",1,2015,"less than 20",2015,NA,0.15133,500,0.15133,"Y",15133,NA,7,41.7643138810252,-87.5812699494884,17031430500,"SOUTH SHORE","(41.7643138810252, -87.5812699494884)",7
"127",500,"less than 20",1,2,3,1,3,-0.8,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,8,8,NA,7,1,2014,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.13687,500,0.13687,"Y",13687,NA,8,41.7772871627802,-87.6933405804616,17031660600,"CHICAGO LAWN","(41.7772871627802, -87.6933405804616)",7
"128",500,"less than 20",0,0,5,1,0,2.9,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,8,8,NA,7,1,2016,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.13447,500,0.13447,"Y",13447,NA,NA,41.7681040642885,-87.6979986988016,17031660900,"CHICAGO LAWN","(41.7681040642885, -87.6979986988016)",7
